,Tweet,Sentiment
0,newly developed system generating life-changing wealth currently looking for additional beta-testers. use this link for free access #makemoneyonline #workfromhome #sidehustle #crypto,Positive
1,#onlinejob #workfromhome #onlinebusiness #0%investment # whatsapp 9113028492 #good morning,Positive
2,#onlinejob #workfromhome #onlinebusiness #0%investment # whatsapp 9113028492 #good morning,Positive
3,#onlinejob #workfromhome #onlinebusiness #0%investment # whatsapp 9113028492 #good morning,Positive
4,"haryana: students of classes 10-12 to get free tablets, internet data in may | mint #byjus #onlinelearning",Positive
5,#onlinejob #workfromhome #onlinebusiness #0%investment # whatsapp 9113028492 #good morning,Positive
6,#onlinejob #workfromhome #onlinebusiness #0%investment # whatsapp 9113028492 #good morning,Positive
7,"vision builds hope into you, your business, your company and your future for a better tomorrow. #howtomakemoneyonline #makemoneyonline #onlinebusiness #workfromhome #entrepreneur",Positive
8,new remote job executive assistant #remotejobs #remote #remoteworking #workfromhome #homejobs #remotejob,Negative
9,read here: support my fb page: #virtualassistant #va #business #wealth #workfromhome #adminassistant #executivesupport #startup #assistant,Neutral
10,#eschoolnews cannabis education activities and resources #eschool #elearning #eonline,Neutral
11,#onlinejob #workfromhome #onlinebusiness #0%investment # whatsapp 9113028492 #good morning,Positive
12,#onlinejob #workfromhome #onlinebusiness #0%investment # whatsapp 9113028492 #good morning,Positive
13,working from home on your laptop may cause neck pain & other sitting diseases. discover how ergonomics can help you! visit us at #ergonomics #ergodirect #workfromhome #neckpain,Negative
14,"create a flood of leads, sales, and sign-ups with facebook story ads! ~ #workfromhome #smm",Neutral
15,do you want to make money online? try these sources #earnmoneyonline #payouts #royalties #networth #getpaid #wix #makemoney #passiveincome #onlineincome #financegirl #financetips #workfromhome #waystomakemoney,Neutral
16,"now that we have to know the importance of trust for virtual teams, let's see what we can do to build and maintain this tru",Neutral
17,"enhance your skill-based learning with leadsguru, one of a kind edtech platform #byjus #onlinelearning",Positive
18,organizations have started upskilling their employees and resources. have you? immerse your employees in training program,Neutral
19,win a free make money online business in a box! are you ready to start your affiliate marketingbusiness today? thanks to rahampaul096 and ppzthatrock: enter now! #makemoneyonlne #affiliatemarketing #workfromhome,Positive
20,hujambo! (means hello! in swahili) - we are proud to announce that we work in kenya now!learn more: #safeguarding #profdev #childprotectiontraining #childsafe #childprotection #elearning,Positive
21,"now that we have to know the importance of trust for virtual teams, let's see what we can do to build and maintain this trust. join our upcoming online workshops, and let's collaborate and learn more! #elearning #remotelearning #instructionaldesign",Positive
22,why the fuck does my test out girl look like a model? #onlinelearning #testout,Negative
